"Distribution x_1","Distribution x_2","DGP","Model","Effect Size Scenario","Transition","Model Type","Coefficient (true)","Coefficient (mean)","Coefficient (lower)","Coefficient (upper)","Bias (mean)","Bias (lower)","Bias (upper)","Coverage (mean)","Coverage (lower)","Coverage (upper)"
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM","Large","Onset","$x_1$-only Model",0.6,0.5766394,0.4924375,0.6520675,-0.0233606,-0.1075625,0.0520675,0.916,0.888151698754588,0.938790941391652
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM","Large","Onset","Full Model",0.6,0.6004464,0.51898,0.6806675,0.000446400000000022,-0.08102,0.0806675,0.954,0.931774572118762,0.970619824607597
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM","Large","Progression","$x_1$-only Model",0.6,0.5625228,0.4289,0.70007,-0.0374772,-0.1711,0.10007,0.886,0.854831533401039,0.91250509712003
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM","Large","Progression","Full Model",0.6,0.5961512,0.4815275,0.72192,-0.00384879999999998,-0.1184725,0.12192,0.97,0.951001774291181,0.983114015796127
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM","Large","Progression Interaction","$x_1$-only Model",0,-0.0141168,-0.16921,0.14939,-0.0141168,-0.16921,0.14939,0.926,0.89944112525353,0.947364891451005
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM","Large","Progression Interaction","Full Model",0,-0.0042966,-0.1523575,0.1506625,-0.0042966,-0.1523575,0.1506625,0.954,0.931774572118762,0.970619824607597
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM","Medium","Onset","$x_1$-only Model",0.4,0.3945218,0.3127975,0.4781625,-0.00547820000000002,-0.0872025,0.0781625,0.958,0.936513059467081,0.973816423223853
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM","Medium","Onset","Full Model",0.4,0.4040252,0.31985,0.4869575,0.00402519999999998,-0.08015,0.0869575,0.958,0.936513059467081,0.973816423223853
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM","Medium","Progression","$x_1$-only Model",0.4,0.3825472,0.2770925,0.48917,-0.0174528,-0.1229075,0.0891699999999998,0.956,0.934138999676405,0.972223232714428
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM","Medium","Progression","Full Model",0.4,0.3969494,0.300195,0.50143,-0.00305060000000002,-0.099805,0.10143,0.964,0.943699823798209,0.978527143413907
